year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,24,2,1558215439.277668,1558215470.844468,2019-05-18T21:37:19.277668+00:00,2019-05-18T21:37:50.844468+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,24,3,1558215499.894595,1558215729.910142,2019-05-18T21:38:19.894595+00:00,2019-05-18T21:42:09.910142+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,31,0,1558213673.95672,1558213748.9603,2019-05-18T21:07:53.956720+00:00,2019-05-18T21:09:08.960300+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,31,1,1558213803.955872,1558213848.956289,2019-05-18T21:10:03.955872+00:00,2019-05-18T21:10:48.956289+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,42,0,1558212973.972524,1558213113.961793,2019-05-18T20:56:13.972524+00:00,2019-05-18T20:58:33.961793+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,0,1558212598.73061,1558212603.752905,2019-05-18T20:49:58.730610+00:00,2019-05-18T20:50:03.752905+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,1,1558212633.961743,1558212663.954657,2019-05-18T20:50:33.961743+00:00,2019-05-18T20:51:03.954657+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,2,1558212728.949807,1558212758.965286,2019-05-18T20:52:08.949807+00:00,2019-05-18T20:52:38.965286+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,3,1558212788.95505,1558212813.972723,2019-05-18T20:53:08.955050+00:00,2019-05-18T20:53:33.972723+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,4,1558215204.475473,1558215249.593862,2019-05-18T21:33:24.475473+00:00,2019-05-18T21:34:09.593862+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,5,1558215279.479672,1558215369.503024,2019-05-18T21:34:39.479672+00:00,2019-05-18T21:36:09.503024+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,5T,6,1558215394.54569,1558215429.285878,2019-05-18T21:36:34.545690+00:00,2019-05-18T21:37:09.285878+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,48,0,1558215744.049071,1558215789.295143,2019-05-18T21:42:24.049071+00:00,2019-05-18T21:43:09.295143+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,48,1,1558215819.026621,1558215989.897992,2019-05-18T21:43:39.026621+00:00,2019-05-18T21:46:29.897992+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,77,0,1558199513.870232,1558199723.87043,2019-05-18T17:11:53.870232+00:00,2019-05-18T17:15:23.870430+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,10,0,1558203028.851053,1558203238.848245,2019-05-18T18:10:28.851053+00:00,2019-05-18T18:13:58.848245+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,28,0,1558202578.860761,1558202793.853216,2019-05-18T18:02:58.860761+00:00,2019-05-18T18:06:33.853216+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,26,0,1558203563.947785,1558203773.96799,2019-05-18T18:19:23.947785+00:00,2019-05-18T18:22:53.967990+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,15,0,1558201678.851655,1558201888.851524,2019-05-18T17:47:58.851655+00:00,2019-05-18T17:51:28.851524+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,60,0,1558194868.875969,1558195078.84023,2019-05-18T15:54:28.875969+00:00,2019-05-18T15:57:58.840230+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,88,0,1558203298.966911,1558203508.857725,2019-05-18T18:14:58.966911+00:00,2019-05-18T18:18:28.857725+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,63,0,1558196023.846146,1558196233.841428,2019-05-18T16:13:43.846146+00:00,2019-05-18T16:17:13.841428+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,66,0,1558197168.848399,1558197383.847257,2019-05-18T16:32:48.848399+00:00,2019-05-18T16:36:23.847257+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,59,0,1558194578.841125,1558194793.844168,2019-05-18T15:49:38.841125+00:00,2019-05-18T15:53:13.844168+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,32,0,1558203828.954039,1558204043.954727,2019-05-18T18:23:48.954039+00:00,2019-05-18T18:27:23.954727+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,14,0,1558193178.73482,1558193393.732326,2019-05-18T15:26:18.734820+00:00,2019-05-18T15:29:53.732326+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,25,0,1558191658.73415,1558191873.736616,2019-05-18T15:00:58.734150+00:00,2019-05-18T15:04:33.736616+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,39,0,1558196868.846786,1558197078.848207,2019-05-18T16:27:48.846786+00:00,2019-05-18T16:31:18.848207+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,27,0,1558192283.727189,1558192498.733716,2019-05-18T15:11:23.727189+00:00,2019-05-18T15:14:58.733716+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,20,0,1558192563.733992,1558192768.73441,2019-05-18T15:16:03.733992+00:00,2019-05-18T15:19:28.734410+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,21,0,1558191978.734024,1558192183.733642,2019-05-18T15:06:18.734024+00:00,2019-05-18T15:09:43.733642+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,22,0,1558196598.842386,1558196808.847107,2019-05-18T16:23:18.842386+00:00,2019-05-18T16:26:48.847107+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,23,0,1558193723.73575,1558193933.736843,2019-05-18T15:35:23.735750+00:00,2019-05-18T15:38:53.736843+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,lap,19,0,1558195158.840667,1558195373.84536,2019-05-18T15:59:18.840667+00:00,2019-05-18T16:02:53.845360+00:00,5
