year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,51,0,1,2,39.7125,1747501124765,2025-05-17T16:58:44.765000+00:00,2025-05-17T12:58:44.765000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,51,0,2,3,39.7983,1747501163167,2025-05-17T16:59:23.167000+00:00,2025-05-17T12:59:23.167000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,51,0,3,4,39.6218,1747501203145,2025-05-17T17:00:03.145000+00:00,2025-05-17T13:00:03.145000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,51,0,4,5,39.5566,1747501243134,2025-05-17T17:00:43.134000+00:00,2025-05-17T13:00:43.134000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,10,0,0,1,40.8961,1747501366569,2025-05-17T17:02:46.569000+00:00,2025-05-17T13:02:46.569000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,10,0,1,2,38.6133,1747501406578,2025-05-17T17:03:26.578000+00:00,2025-05-17T13:03:26.578000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,10,0,2,3,38.6088,1747501444888,2025-05-17T17:04:04.888000+00:00,2025-05-17T13:04:04.888000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,10,0,3,4,38.6325,1747501483213,2025-05-17T17:04:43.213000+00:00,2025-05-17T13:04:43.213000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,10,0,4,5,38.6235,1747501521536,2025-05-17T17:05:21.536000+00:00,2025-05-17T13:05:21.536000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,45,0,0,1,41.4573,1747501651500,2025-05-17T17:07:31.500000+00:00,2025-05-17T13:07:31.500000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,45,0,1,2,38.953,1747501691494,2025-05-17T17:08:11.494000+00:00,2025-05-17T13:08:11.494000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,45,0,2,3,38.9981,1747501729817,2025-05-17T17:08:49.817000+00:00,2025-05-17T13:08:49.817000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,45,0,3,4,39.0988,1747501769848,2025-05-17T17:09:29.848000+00:00,2025-05-17T13:09:29.848000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,45,0,4,5,39.0877,1747501808194,2025-05-17T17:10:08.194000+00:00,2025-05-17T13:10:08.194000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,3,0,0,1,41.1147,1747501934932,2025-05-17T17:12:14.932000+00:00,2025-05-17T13:12:14.932000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,3,0,1,2,38.6043,1747501974935,2025-05-17T17:12:54.935000+00:00,2025-05-17T13:12:54.935000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,3,0,2,3,38.7107,1747502013290,2025-05-17T17:13:33.290000+00:00,2025-05-17T13:13:33.290000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,3,0,3,4,38.5799,1747502051645,2025-05-17T17:14:11.645000+00:00,2025-05-17T13:14:11.645000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,3,0,4,5,38.603,1747502090409,2025-05-17T17:14:50.409000+00:00,2025-05-17T13:14:50.409000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,77,0,0,1,41.7746,1747502212149,2025-05-17T17:16:52.149000+00:00,2025-05-17T13:16:52.149000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,77,0,1,2,39.117,1747502252165,2025-05-17T17:17:32.165000+00:00,2025-05-17T13:17:32.165000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,77,0,2,3,39.016,1747502290534,2025-05-17T17:18:10.534000+00:00,2025-05-17T13:18:10.534000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,77,0,3,4,38.9078,1747502328858,2025-05-17T17:18:48.858000+00:00,2025-05-17T13:18:48.858000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,77,0,4,5,39.2536,1747502368877,2025-05-17T17:19:28.877000+00:00,2025-05-17T13:19:28.877000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,21,0,0,1,40.9689,1747502475785,2025-05-17T17:21:15.785000+00:00,2025-05-17T13:21:15.785000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,21,0,1,2,38.9281,1747502554177,2025-05-17T17:22:34.177000+00:00,2025-05-17T13:22:34.177000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,21,0,2,3,38.9435,1747502594186,2025-05-17T17:23:14.186000+00:00,2025-05-17T13:23:14.186000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,21,0,3,4,38.9127,1747502632529,2025-05-17T17:23:52.529000+00:00,2025-05-17T13:23:52.529000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,27,0,0,1,40.7741,1747502780970,2025-05-17T17:26:20.970000+00:00,2025-05-17T13:26:20.970000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,27,0,1,2,38.8022,1747502819314,2025-05-17T17:26:59.314000+00:00,2025-05-17T13:26:59.314000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,27,0,2,3,38.9161,1747502857688,2025-05-17T17:27:37.688000+00:00,2025-05-17T13:27:37.688000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,27,0,3,4,38.9177,1747502896056,2025-05-17T17:28:16.056000+00:00,2025-05-17T13:28:16.056000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,27,0,4,5,39.2639,1747502936080,2025-05-17T17:28:56.080000+00:00,2025-05-17T13:28:56.080000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,30,0,0,1,41.1283,1747503062837,2025-05-17T17:31:02.837000+00:00,2025-05-17T13:31:02.837000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,30,0,1,2,38.7916,1747503101191,2025-05-17T17:31:41.191000+00:00,2025-05-17T13:31:41.191000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,30,0,2,3,39.2063,1747503141218,2025-05-17T17:32:21.218000+00:00,2025-05-17T13:32:21.218000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,30,0,3,4,39.1234,1747503179575,2025-05-17T17:32:59.575000+00:00,2025-05-17T13:32:59.575000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,30,0,4,5,39.1183,1747503217935,2025-05-17T17:33:37.935000+00:00,2025-05-17T13:33:37.935000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,90,0,0,1,41.6864,1747503357981,2025-05-17T17:35:57.981000+00:00,2025-05-17T13:35:57.981000-04:00,yellow
