fold_id,fold_role,test_year,model_name,diagnostic_type,feature_name,value,model_policy_hash
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,prior_supported_attempt_count,0.003391779493048471,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,seconds_since_prior_supported_attempt,0.01589137738502989,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,best_prior_supported_average_speed_mph,0.019707058988063714,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,has_prior_supported_attempt,0.0020579493431414986,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_temp_c,-0.8348320624432987,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_relative_humidity_pct,0.33007747965354606,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_speed_10m_ms,-0.30301843076846996,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_direction_sin,-0.543920634541928,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_direction_cos,-0.48689920452153485,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_pressure_hpa,-0.37907233898279163,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_cloud_cover_pct,0.27540162941719987,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,forecast_shortwave_radiation_wm2,0.5395156839943288,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,prior_supported_attempt_count,0.4378731554843847,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,seconds_since_prior_supported_attempt,0.33964945548798464,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,best_prior_supported_average_speed_mph,0.3369915238961114,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,RIDGE,STANDARDIZED_COEFFICIENT,has_prior_supported_attempt,-0.3202751862686225,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_temp_c,-0.7805520492305608,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_relative_humidity_pct,0.0369621303165633,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_wind_speed_10m_ms,-0.0,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
