year,id,json_path,key,value_preview
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[1].lapNumber,lapNumber,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[1].laptime,laptime,38.8124
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[1].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[1].timestamp,timestamp,1747499152396
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[1].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[2].lapNumber,lapNumber,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[2].laptime,laptime,38.813
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[2].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[2].timestamp,timestamp,1747499190676
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[2].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[3].lapNumber,lapNumber,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[3].laptime,laptime,38.7028
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[3].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[3].timestamp,timestamp,1747499228963
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[3].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[4].lapNumber,lapNumber,5
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[4].laptime,laptime,38.7144
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[4].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[4].timestamp,timestamp,1747499268945
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[4].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[5].lapNumber,lapNumber,6
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[5].laptime,laptime,41.4149
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[5].driver,driver,0
