year,file,json_path,depth,value_type
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.24,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.25,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.39,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.27,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.20,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.21,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.22,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.23,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.19,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.18,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.31,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.30,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.42,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.5T,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.33,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.3,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.2,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.5,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.4,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.7,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.48,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.9,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.12,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.service,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.service.description,2,str
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.service.colSpec,2,list
